Place of Origin,2014/15,2015/16,% of Total,% Change
,,,,
"AFRICA, SUB-SAHARAN","33,593","35,364",3.4,5.3
,,,,
East Africa,"7,560","7,690",0.7,1.7
Burundi,165,148,,-10.3
Djibouti,7,9,,28.6
Eritrea,108,109,,0.9
Ethiopia,"1,472","1,517",,3.1
Kenya,"3,072","3,019",,-1.7
Rwanda,800,928,,16.0
Seychelles,14,20,,42.9
Somalia,32,35,,9.4
South Sudan,28,36,,28.6
Sudan,233,253,,8.6
Tanzania,867,840,,-3.1
Uganda,762,776,,1.8
,,,,
Central Africa,"3,032","3,311",0.3,9.2
Cameroon,"1,212","1,210",,-0.2
Central African Republic,13,13,,0.0
Chad,61,52,,-14.8
"Congo, Republic of the (Brazzaville)",288,337,,17.0
"Congo, Dem. Rep. of the (Kinshasa)",755,949,,25.7
Equatorial Guinea,314,339,,8.0
Gabon,388,410,,5.7
São Tomé & Príncipe,1,1,,0.0
,,,,
Southern Africa,"6,043","6,263",0.6,3.6
Angola,"1,184","1,296",,9.5
Botswana,257,246,,-4.3
Comoros,32,32,,0.0
Lesotho,56,61,,8.9
Madagascar,122,126,,3.3
Malawi,272,289,,6.3
Mauritius,231,250,,8.2
Mozambique,108,109,,0.9
Namibia,67,76,,13.4
Reunion,1,5,,400.0
South Africa,"1,838","1,813",,-1.4
Swaziland,165,192,,16.4
Zambia,465,473,,1.7
Zimbabwe,"1,245","1,295",,4.0
,,,,
West Africa,"16,958","18,100",1.7,6.7
Benin,287,259,,-9.8
Burkina Faso,567,540,,-4.8
Cabo Verde/Cape Verde,64,102,,59.4
Côte d'Ivoire/Ivory Coast,"1,227","1,229",,0.2
Gambia,275,274,,-0.4
Ghana,"3,099","3,049",,-1.6
Guinea,109,94,,-13.8
Guinea-Bissau,9,18,,100.0
Liberia,168,205,,22.0
Mali,356,331,,-7.0
Mauritania,81,97,,19.8
Niger,199,246,,23.6
Nigeria,"9,494","10,674",,12.4
Saint Helena,-,3,,-
Senegal,633,603,,-4.7
Sierra Leone,152,167,,9.9
Togo,238,209,,-12.2
,,,,
ASIA,"627,306","689,525",66.1,9.9
,,,,
East Asia,"417,881","439,702",42.1,5.2
China,"304,040","328,547",,8.1
Hong Kong,"8,012","7,923",,-1.1
Japan,"19,064","19,060",,0.0
Macau,573,586,,2.3
Mongolia,"1,481","1,434",,-3.2
North Korea,8,18,,125.0
South Korea,"63,710","61,007",,-4.2
Taiwan,"20,993","21,127",,0.6
,,,,
South and Central Asia,"158,560","195,135",18.7,23.1
Afghanistan,471,498,,5.7
Bangladesh,"5,455","6,513",,19.4
Bhutan,128,143,,11.7
India,"132,888","165,918",,24.9
Kazakhstan,"2,017","1,935",,-4.1
Kyrgyzstan,227,227,,0.0
